Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,ACS18_5yr_B03002001,ACS18_5yr_B03002002,ACS18_5yr_B03002003,ACS18_5yr_B03002004,ACS18_5yr_B03002005,ACS18_5yr_B03002006,ACS18_5yr_B03002007,ACS18_5yr_B03002008,ACS18_5yr_B03002009,ACS18_5yr_B03002010,ACS18_5yr_B03002011,ACS18_5yr_B03002012,ACS18_5yr_B03002013,ACS18_5yr_B03002014,ACS18_5yr_B03002015,ACS18_5yr_B03002016,ACS18_5yr_B03002017,ACS18_5yr_B03002018,ACS18_5yr_B03002019,ACS18_5yr_B03002020,ACS18_5yr_B03002021,ACS18_5yr_B03002001s,ACS18_5yr_B03002002s,ACS18_5yr_B03002003s,ACS18_5yr_B03002004s,ACS18_5yr_B03002005s,ACS18_5yr_B03002006s,ACS18_5yr_B03002007s,ACS18_5yr_B03002008s,ACS18_5yr_B03002009s,ACS18_5yr_B03002010s,ACS18_5yr_B03002011s,ACS18_5yr_B03002012s,ACS18_5yr_B03002013s,ACS18_5yr_B03002014s,ACS18_5yr_B03002015s,ACS18_5yr_B03002016s,ACS18_5yr_B03002017s,ACS18_5yr_B03002018s,ACS18_5yr_B03002019s,ACS18_5yr_B03002020s,ACS18_5yr_B03002021s,ACS18_5yr_B25003001,ACS18_5yr_B25003002,ACS18_5yr_B25003003,ACS18_5yr_B25003001s,ACS18_5yr_B25003002s,ACS18_5yr_B25003003s
"06001401100","14000US06001401100","Census Tract 4011","Census Tract 4011, Alameda County, California","ca","140","00","ACSSF","0002709",,,,,"06","001",,,,"401100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4366,3981,2296,482,0,925,0,16,262,0,262,385,209,35,0,0,0,106,35,18,17,252.7273,259.394,202.4242,149.697,7.272727,192.7273,7.272727,16.36364,70.30303,7.272727,70.30303,105.4545,80,33.93939,7.272727,7.272727,7.272727,57.57576,23.63636,17.57576,16.36364,2043,495,1548,59.39394,72.72727,91.51515
"06001401200","14000US06001401200","Census Tract 4012","Census Tract 4012, Alameda County, California","ca","140","00","ACSSF","0002710",,,,,"06","001",,,,"401200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2577,2196,1528,344,4,243,0,0,77,0,77,381,230,13,7,0,0,124,7,7,0,101.2121,115.1515,106.6667,52.12121,3.636364,58.78788,7.272727,7.272727,29.69697,7.272727,29.69697,75.15151,64.84849,12.72727,14.54545,7.272727,7.272727,55.75758,6.666667,6.666667,7.272727,1230,446,784,35.75758,58.18182,64.84849
"06001401300","14000US06001401300","Census Tract 4013","Census Tract 4013, Alameda County, California","ca","140","00","ACSSF","0002711",,,,,"06","001",,,,"401300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3855,3472,1476,1218,30,617,0,0,131,0,131,383,146,26,10,0,0,85,116,90,26,214.5455,216.3636,127.8788,172.1212,18.18182,81.21212,7.272727,7.272727,46.06061,7.272727,46.06061,86.66666,45.45454,25.45455,9.69697,7.272727,7.272727,59.39394,46.06061,42.42424,13.33333,1804,288,1516,43.63636,47.87879,60.60606
"06001401400","14000US06001401400","Census Tract 4014","Census Tract 4014, Alameda County, California","ca","140","00","ACSSF","0002712",,,,,"06","001",,,,"401400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4331,3467,1035,1425,81,549,11,36,330,7,323,864,224,0,0,0,0,580,60,13,47,304.2424,333.9394,130.303,207.2727,49.09091,218.1818,10.30303,34.54546,162.4242,7.272727,162.4242,157.5758,86.06061,7.272727,7.272727,7.272727,7.272727,130.9091,33.33333,12.72727,29.09091,1576,298,1278,61.81818,61.81818,76.36364
"06001401500","14000US06001401500","Census Tract 4015","Census Tract 4015, Alameda County, California","ca","140","00","ACSSF","0002713",,,,,"06","001",,,,"401500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2663,2353,1070,974,9,103,24,0,173,6,167,310,112,14,0,0,0,155,29,0,29,182.4242,157.5758,138.7879,107.2727,8.484848,36.9697,23.63636,7.272727,46.66667,5.454545,46.66667,93.93939,52.12121,9.090909,7.272727,7.272727,7.272727,74.54546,12.72727,7.272727,12.72727,1080,377,703,43.63636,41.81818,47.87879
"06001401600","14000US06001401600","Census Tract 4016","Census Tract 4016, Alameda County, California","ca","140","00","ACSSF","0002714",,,,,"06","001",,,,"401600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269,1946,729,844,0,235,19,18,101,0,101,323,72,0,0,5,0,192,54,0,54,125.4545,133.3333,128.4848,96.9697,7.272727,61.21212,15.15152,15.75758,36.36364,7.272727,36.36364,45.45454,38.18182,7.272727,7.272727,4.242424,7.272727,46.66667,38.78788,7.272727,38.78788,868,196,672,32.72727,33.33333,44.24242
"06001401700","14000US06001401700","Census Tract 4017","Census Tract 4017, Alameda County, California","ca","140","00","ACSSF","0002715",,,,,"06","001",,,,"401700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3002,2271,1021,864,0,261,8,0,117,0,117,731,179,0,0,6,1,501,44,23,21,215.1515,173.9394,116.3636,140,7.272727,47.27273,7.272727,7.272727,41.21212,7.272727,41.21212,172.7273,68.48485,7.272727,7.272727,6.666667,7.878788,176.9697,55.15152,43.0303,21.21212,1289,710,579,49.09091,64.84849,69.09091
"06001401800","14000US06001401800","Census Tract 4018","Census Tract 4018, Alameda County, California","ca","140","00","ACSSF","0002716",,,,,"06","001",,,,"401800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794,1443,585,666,6,73,0,11,102,0,102,351,52,5,0,0,0,197,97,0,97,132.1212,144.8485,96.9697,123.6364,4.848485,26.06061,7.272727,12.12121,64.24242,7.272727,64.24242,93.33334,27.27273,4.242424,7.272727,7.272727,7.272727,72.72727,54.54546,7.272727,54.54546,712,164,548,33.93939,35.75758,41.81818
"06001402200","14000US06001402200","Census Tract 4022","Census Tract 4022, Alameda County, California","ca","140","00","ACSSF","0002717",,,,,"06","001",,,,"402200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2527,1979,672,706,24,483,0,0,94,9,85,548,174,12,6,0,0,285,71,30,41,134.5455,126.6667,91.51515,89.09091,19.39394,92.72727,7.272727,7.272727,32.12121,7.878788,28.48485,75.15151,73.93939,10.90909,5.454545,7.272727,7.272727,44.24242,24.84848,18.18182,21.21212,855,306,549,35.75758,40.60606,44.24242
"06001402400","14000US06001402400","Census Tract 4024","Census Tract 4024, Alameda County, California","ca","140","00","ACSSF","0002718",,,,,"06","001",,,,"402400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2787,2510,587,1513,6,273,11,0,120,0,120,277,124,44,1,0,0,74,34,21,13,193.3333,209.0909,129.0909,188.4848,5.454545,76.36364,9.69697,7.272727,63.63636,7.272727,63.63636,96.9697,56.9697,38.78788,1.212121,7.272727,7.272727,58.18182,16.9697,18.78788,12.72727,1209,303,906,38.18182,46.06061,50.30303
"06001402500","14000US06001402500","Census Tract 4025","Census Tract 4025, Alameda County, California","ca","140","00","ACSSF","0002719",,,,,"06","001",,,,"402500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1786,1595,157,1147,0,188,0,0,103,2,101,191,33,55,0,0,0,64,39,30,9,136.3636,144.2424,62.42424,139.3939,7.272727,71.51515,7.272727,7.272727,47.27273,1.818182,46.66667,75.15151,22.42424,47.27273,7.272727,7.272727,7.272727,50.90909,29.69697,28.48485,8.484848,708,76,632,26.66667,29.69697,39.39394
"06001402600","14000US06001402600","Census Tract 4026","Census Tract 4026, Alameda County, California","ca","140","00","ACSSF","0002720",,,,,"06","001",,,,"402600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196,1057,183,289,0,553,0,0,32,0,32,139,35,0,0,0,0,72,32,6,26,73.93939,77.57576,46.06061,46.06061,7.272727,55.15152,7.272727,7.272727,12.12121,7.272727,12.12121,50.30303,13.93939,7.272727,7.272727,7.272727,7.272727,35.15152,21.81818,5.454545,20.60606,618,78,540,35.75758,15.15152,35.15152
"06001402700","14000US06001402700","Census Tract 4027","Census Tract 4027, Alameda County, California","ca","140","00","ACSSF","0002721",,,,,"06","001",,,,"402700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842,1543,454,778,12,220,0,20,59,0,59,299,117,5,0,0,0,152,25,25,0,119.3939,118.1818,83.0303,100.6061,10.30303,59.39394,7.272727,14.54545,32.12121,7.272727,32.12121,92.72727,46.06061,5.454545,7.272727,7.272727,7.272727,76.9697,16.9697,16.9697,7.272727,682,193,489,26.66667,35.15152,38.18182
"06001402800","14000US06001402800","Census Tract 4028","Census Tract 4028, Alameda County, California","ca","140","00","ACSSF","0002722",,,,,"06","001",,,,"402800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4639,4256,1478,1714,26,829,0,0,209,0,209,383,142,0,0,0,0,160,81,28,53,224.2424,239.3939,154.5455,215.7576,18.18182,110.303,7.272727,7.272727,72.12122,7.272727,72.12122,80,52.72727,7.272727,7.272727,7.272727,7.272727,57.57576,36.36364,27.27273,31.51515,2607,166,2441,72.72727,41.81818,78.78788
"06001402900","14000US06001402900","Census Tract 4029","Census Tract 4029, Alameda County, California","ca","140","00","ACSSF","0002723",,,,,"06","001",,,,"402900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427,1200,310,231,30,542,0,25,62,0,62,227,32,23,0,7,0,150,15,0,15,69.69697,60,40.60606,38.78788,21.21212,41.81818,7.272727,16.36364,25.45455,7.272727,25.45455,55.15152,15.75758,16.36364,7.272727,6.060606,7.272727,54.54546,7.272727,7.272727,7.272727,899,7,892,31.51515,5.454545,32.12121
"06001403000","14000US06001403000","Census Tract 4030","Census Tract 4030, Alameda County, California","ca","140","00","ACSSF","0002724",,,,,"06","001",,,,"403000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2969,2881,168,115,32,2424,96,22,24,0,24,88,49,0,0,0,0,39,0,0,0,136.3636,131.5152,42.42424,97.57576,25.45455,132.7273,52.72727,21.21212,16.9697,7.272727,16.9697,47.87879,33.33333,7.272727,7.272727,7.272727,7.272727,26.06061,7.272727,7.272727,7.272727,1463,460,1003,64.24242,58.78788,72.72727
"06001403100","14000US06001403100","Census Tract 4031","Census Tract 4031, Alameda County, California","ca","140","00","ACSSF","0002725",,,,,"06","001",,,,"403100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668,1406,376,303,12,677,12,4,22,0,22,262,91,0,7,13,0,98,53,34,19,137.5758,103.0303,54.54546,75.75758,9.090909,67.27273,12.12121,3.636364,11.51515,7.272727,11.51515,59.39394,22.42424,7.272727,7.878788,9.090909,7.272727,32.72727,24.24242,22.42424,9.69697,638,197,441,49.69697,31.51515,46.06061
"06001403300","14000US06001403300","Census Tract 4033","Census Tract 4033, Alameda County, California","ca","140","00","ACSSF","0002726",,,,,"06","001",,,,"403300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4240,3846,990,322,106,2155,0,0,273,0,273,394,162,0,24,0,0,208,0,0,0,261.2121,250.9091,196.3636,129.697,57.57576,274.5454,7.272727,7.272727,84.24242,7.272727,84.24242,150.9091,60,7.272727,18.18182,7.272727,7.272727,132.1212,7.272727,7.272727,7.272727,2141,670,1471,76.36364,132.7273,132.7273
"06001403400","14000US06001403400","Census Tract 4034","Census Tract 4034, Alameda County, California","ca","140","00","ACSSF","0002727",,,,,"06","001",,,,"403400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4617,4318,1872,1003,16,1143,36,39,209,15,194,299,123,15,0,0,0,107,54,54,0,203.0303,212.1212,157.5758,196.9697,21.81818,192.1212,31.51515,38.78788,59.39394,11.51515,61.21212,82.42424,59.39394,15.15152,7.272727,7.272727,7.272727,44.84848,39.39394,39.39394,7.272727,2857,264,2593,61.81818,66.66666,89.69697
"06001403501","14000US06001403501","Census Tract 4035.01","Census Tract 4035.01, Alameda County, California","ca","140","00","ACSSF","0002728",,,,,"06","001",,,,"403501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4644,4137,1501,1171,39,1070,27,0,329,0,329,507,243,19,34,0,0,56,155,28,127,192.1212,233.9394,173.9394,159.3939,18.18182,175.1515,18.18182,7.272727,89.09091,7.272727,89.09091,124.2424,50.30303,20,32.72727,7.272727,7.272727,32.72727,93.33334,23.63636,90.90909,2723,297,2426,86.66666,66.06061,86.66666
"06001403502","14000US06001403502","Census Tract 4035.02","Census Tract 4035.02, Alameda County, California","ca","140","00","ACSSF","0002729",,,,,"06","001",,,,"403502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035,1790,946,473,0,247,0,11,113,10,103,245,116,14,0,28,0,69,18,18,0,112.7273,117.5758,92.72727,101.8182,7.272727,76.36364,7.272727,10.90909,37.57576,9.090909,35.75758,55.15152,32.12121,14.54545,7.272727,27.27273,7.272727,27.87879,15.75758,15.75758,7.272727,1152,253,899,52.12121,45.45454,58.18182
"06001403600","14000US06001403600","Census Tract 4036","Census Tract 4036, Alameda County, California","ca","140","00","ACSSF","0002730",,,,,"06","001",,,,"403600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5252,4540,1892,1688,43,546,0,25,346,25,321,712,172,87,0,13,0,200,240,99,141,351.5151,355.7576,196.9697,347.2727,39.39394,118.1818,10.30303,18.78788,123.6364,24.84848,120.6061,173.9394,67.87878,58.78788,10.30303,12.12121,10.30303,76.36364,127.8788,71.51515,93.33334,2578,374,2204,89.09091,66.66666,106.6667
"06001403701","14000US06001403701","Census Tract 4037.01","Census Tract 4037.01, Alameda County, California","ca","140","00","ACSSF","0002731",,,,,"06","001",,,,"403701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795,2423,1385,555,0,306,0,36,141,0,141,372,215,0,0,8,0,123,26,18,8,122.4242,128.4848,114.5455,87.27273,7.272727,83.0303,7.272727,25.45455,37.57576,7.272727,37.57576,67.27273,47.87879,7.272727,7.272727,7.878788,7.272727,41.81818,14.54545,12.12121,7.878788,1767,229,1538,50.90909,38.78788,64.24242
"06001403702","14000US06001403702","Census Tract 4037.02","Census Tract 4037.02, Alameda County, California","ca","140","00","ACSSF","0002732",,,,,"06","001",,,,"403702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898,1706,994,269,0,330,6,12,95,0,95,192,38,7,0,0,0,106,41,18,23,119.3939,116.9697,107.2727,57.57576,7.272727,87.87878,7.272727,12.12121,46.06061,7.272727,46.06061,66.66666,18.18182,7.878788,7.272727,7.272727,7.272727,59.39394,20,12.12121,15.75758,1091,227,864,62.42424,46.06061,70.30303
"06001403800","14000US06001403800","Census Tract 4038","Census Tract 4038, Alameda County, California","ca","140","00","ACSSF","0002733",,,,,"06","001",,,,"403800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3343,3184,2288,216,0,484,0,15,181,0,181,159,109,0,0,0,0,11,39,9,30,144.2424,152.7273,158.7879,60,7.272727,81.21212,7.272727,10.30303,47.27273,7.272727,47.27273,43.0303,30.90909,7.272727,7.272727,7.272727,7.272727,7.878788,29.09091,8.484848,29.09091,1826,553,1273,51.51515,52.12121,59.39394
"06001403900","14000US06001403900","Census Tract 4039","Census Tract 4039, Alameda County, California","ca","140","00","ACSSF","0002734",,,,,"06","001",,,,"403900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020,3791,2210,614,16,701,0,35,215,0,215,229,93,15,0,0,0,28,93,93,0,175.1515,164.2424,177.5758,180.6061,12.72727,123.6364,7.272727,32.72727,84.84849,7.272727,84.84849,77.57576,40.60606,15.75758,7.272727,7.272727,7.272727,19.39394,61.81818,61.81818,7.272727,2143,739,1404,67.27273,87.87878,97.57576
"06001404000","14000US06001404000","Census Tract 4040","Census Tract 4040, Alameda County, California","ca","140","00","ACSSF","0002735",,,,,"06","001",,,,"404000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2998,2596,1772,168,24,365,70,15,182,0,182,402,205,28,0,0,0,87,82,14,68,129.0909,125.4545,121.8182,50.30303,16.9697,78.78788,40.60606,15.15152,62.42424,7.272727,62.42424,78.78788,50.90909,26.06061,7.272727,7.272727,7.272727,35.75758,33.93939,10.90909,30.90909,1691,500,1191,47.87879,53.93939,66.66666
"06001404101","14000US06001404101","Census Tract 4041.01","Census Tract 4041.01, Alameda County, California","ca","140","00","ACSSF","0002736",,,,,"06","001",,,,"404101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088,2896,1935,236,7,383,0,59,276,0,276,192,142,0,0,0,0,16,34,16,18,141.8182,134.5455,139.3939,62.42424,7.272727,66.66666,7.272727,35.75758,85.45454,7.272727,85.45454,60,50.90909,7.272727,7.272727,7.272727,7.272727,10.90909,18.78788,12.12121,17.57576,1710,583,1127,50.30303,51.51515,60.60606
"06001404102","14000US06001404102","Census Tract 4041.02","Census Tract 4041.02, Alameda County, California","ca","140","00","ACSSF","0002737",,,,,"06","001",,,,"404102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605,2345,1799,105,3,323,19,12,84,0,84,260,76,3,0,15,0,86,80,43,37,101.8182,115.7576,106.0606,36.9697,3.030303,67.27273,17.57576,11.51515,46.66667,7.272727,46.66667,63.0303,33.93939,3.636364,7.272727,13.33333,7.272727,50.30303,47.27273,32.72727,33.93939,1591,260,1331,46.06061,37.57576,57.57576
"06001404200","14000US06001404200","Census Tract 4042","Census Tract 4042, Alameda County, California","ca","140","00","ACSSF","0002738",,,,,"06","001",,,,"404200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3849,3661,2422,244,10,673,37,41,234,7,227,188,151,0,0,0,0,30,7,7,0,155.7576,162.4242,132.7273,82.42424,7.272727,166.6667,18.78788,19.39394,66.06061,7.272727,65.45454,54.54546,53.33333,7.272727,7.272727,7.272727,7.272727,18.18182,7.272727,7.272727,7.272727,1328,1050,278,30.30303,46.66667,47.87879
"06001404300","14000US06001404300","Census Tract 4043","Census Tract 4043, Alameda County, California","ca","140","00","ACSSF","0002739",,,,,"06","001",,,,"404300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3437,3021,2193,95,0,462,0,15,256,37,219,416,87,0,0,0,0,133,196,107,89,116.9697,127.8788,163.0303,54.54546,7.272727,75.15151,7.272727,14.54545,94.54546,30.30303,75.75758,113.9394,28.48485,7.272727,7.272727,7.272727,7.272727,69.69697,63.0303,52.12121,60,1283,1106,177,29.69697,40.60606,38.78788
